Total Reactions,Name,Company Name
3256,,Indiana University School of Medicine
1758,pamela-whitten-1b386516a,
2466,williamhgates,
114,rufus-griscom-16b1,
4964,williamhgates,
17435,williamhgates,
3652,williamhgates,
894,paulin-basinga-88309176,
3755,williamhgates,
992,chris-anderson-3b2a05bb,
1303,williamhgates,
2022,williamhgates,
822,solitairetownsend,
10105,williamhgates,
718,williamhgates,
2048,williamhgates,
3527,williamhgates,
1004,jkevinscott,
1290,sedoniadavis,
11041,williamhgates,
2959,,Covariant
6151,jazz-ikhasi,
1122,noel-quinn-hsbc,
1911,ursula-von-der-leyen,
15321,williamhgates,
15321,williamhgates,
13137,williamhgates,
1543,kristen-siemen-9288551a,
13192,herbertdiess,
1406,elizabeth-derbes-35471518,
838831,williamhgates,
3094,herbertdiess,
1961,marksuzman,
9298,,
22486,,Vale Group
80810,williamhgates,
